fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
34021,2020-03-12,2020-03-18,,,2020-03-16,2020-03-18,2020-03-20,2020-03-21,2020-03-21,2020-03-25,
34023,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34025,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34027,2020-03-12,2020-03-18,,,2020-03-18,2020-03-19,2020-03-17,2020-03-19,2020-03-21,2020-03-25,
34029,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-16,2020-03-16,2020-03-21,2020-03-25,
34031,2020-03-12,2020-03-18,,,2020-03-13,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34035,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34037,2020-03-12,2020-03-18,,,2020-03-18,2020-03-21,2020-03-16,2020-03-21,2020-03-21,2020-03-25,
34039,2020-03-12,2020-03-18,,,2020-03-18,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
34041,2020-03-12,2020-03-18,,,2020-03-16,2020-03-25,2020-03-21,2020-03-21,2020-03-21,2020-03-25,
35001,2020-03-16,2020-03-16,2020-03-19,2020-03-19,2020-03-16,2020-03-19,2020-03-23,2020-03-23,2020-03-23,2020-03-23,
